ObjectID,Município,UVR Número,Data de referência,Número de catadores na UVR no mês da data de referência,Observações,Receita venda recicláveis,Receita prestação serviços,Despesas,Quantidade de recicláveis vendidos (kg),Rejeito (kg),Renda média catadores,x,y
1348805,Pato Bragado,01,15/1/2025,11,,39106.52,29452.76,20618.37,41265.4,10000,3874.87,-54.22399999999999,-24.606499999999983
1346405,Capitão Leonidas Marques,01,15/1/2025,19,,73438.43,22010.95,34980.7,60639,10770,3172.03,-53.62138319899998,-25.50039078399999
1346005,Foz do Iguaçu,05,15/1/2025,14,Valores referente ao mês de janeiro,38530.45,40845.61,40845.61,43494.9,6524.23,2771.97,-54.526776256999995,-25.511487825000017
1345605,Terra Roxa,01,15/1/2025,16,,26882.35,26882.35,360,34646.5,17638.4,2300,-54.129893675999995,-24.186655127999984
1343205,Vera Cruz do Oeste,01,15/1/2025,13,,27059.33,2265.28,0,21549.5,0,1458.97,-53.87451430300001,-25.044128348000015
1342805,Boa Vista da Aparecida,01,15/1/2025,10,,22693.62,0,0,26819,0,1450,-53.42270667299999,-25.43929420699999
1349205,Cascavel,02,15/1/2025,29,,95149.86,5789.04,38346.09,131201,19979.8,2582.23,-53.44413192799999,-24.919257957000013
1365205,Palotina,01,15/1/2025,22, O total de Associados que trabalharam todos os dias( não tiveram faltas) foram 03 (três),74420.42,0,0,86706,48560,4181.9,-53.85580295599999,-24.293942680999976
1358805,Nova Santa Rosa,01,15/1/2025,9,,29285.29,7379.03,3330.57,30141,3500,2666,-53.948515156999974,-24.47908491300001
1359205,Ouro Verde do Oeste,01,15/1/2025,13,,21493.21,0,0,24252.4,87170,2288.15,-53.91522997300001,-24.77146617699998
1359605,Marechal Candido Rondon,02,15/1/2025,29,,141072.9,76402.67,0,150768,45450,3000,-54.046299999999974,-24.565099999999973
1359606,Foz do Iguaçu,07,15/1/2025,16,,37386.05,36329.26,16106.35,33176.71,5029.2,2362.41,-54.554303317999995,-25.52666452599999
1359607,Iguatu,01,15/1/2025,3,,9292.19,29372.19,877.5,8088.9,1120,2648,-53.09617985400001,-24.720050249999986
1359608,Marechal Candido Rondon,01,15/1/2025,30,,115584.26,76402.32,0,149335,75790,2900,-54.0484328,-24.506809314999998
1327606,Capitão Leonidas Marques,01,15/12/2024,19,,66413.18,22516.69,32538.72,62028.3,9300,2937.95,-53.621117348999974,-25.50054146399998
1362405,Corbélia,01,15/12/2024,44,,47770.28,33653.12,5778.45,55879,18720,2680,-53.29424806600002,-24.81110374399998
1323605,Terra Roxa,01,15/12/2024,15,,12404.15,12404.15,260,15420,14302.4,2000,-54.13022213800002,-24.186608378000017
1324405,Palotina,01,15/12/2024,20, O total de Associados que trabalharam todos os dias( não tiveram faltas) foram 3 três),65586.5,0,18985.51,102194,48200,6642.2,-53.85580295599999,-24.293942680999976
1324005,Vera Cruz do Oeste,01,15/12/2024,15,,27206.17,10320.51,6352.99,24318.5,8980,2600,-53.87452475499998,-25.04424628999999
1324805,Santa Lúcia,01,15/12/2024,10,,4361.2,5225,218,4530,1750,1560,-53.547996823999995,-25.407965467999986
1326006,Brasilândia do Sul,01,15/12/2024,5,,5980.3,3955.6,0,7192,1729,1800,-53.52294448399999,-24.193740492000018
1328805,Campo Bonito,01,15/12/2024,8,,14315.1,20414.61,6288.2,10619.6,4700,3183,-52.99016985100002,-25.026138930000002
1330406,Foz do Iguaçu,08,15/12/2024,19,,18116.35,26614.29,22701.65,20565.5,3084.82,1834.63,-54.57663000299999,-25.574239983999973
1330407,Iguatu,01,15/12/2024,3,,7399.43,29670.87,1841.4,8702.5,1030,3040,-53.09010000000001,-24.715100000000007
1332005,Tupassi,01,15/12/2024,4,,6099.64,1932.66,128,7158,3500,1524.96,-53.47197162399999,-24.640915795000012
1332006,Marechal Candido Rondon,01,15/12/2024,30,,81830.64,76402.32,0,150054.1,29740,2900,-54.0484328,-24.506809314999998
1325605,Foz do Iguaçu,07,15/12/2024,18,,23121.75,34389.49,21172.62,29678.8,4451.82,2527,-54.554786725999975,-25.526629475999982
1326406,Missal,01,15/12/2024,20,"vendas realizadas até o dia 20 de dezembro 2024, não recebendo o contrato da prefeitura esse mês, só em fevereiro",50047.45,0,4196,51867.8,11.07,3166.76,-54.253923903999976,-25.087333960000024
1326407,Foz do Iguaçu,04,15/12/2024,23,Os valores acima se referem ao mês de Dezembro.,42987.78,37127.85,37127.85,45968.4,6800,2066.7,-54.54372752500001,-25.497840311000004
1329205,São Jose das Palmeiras,01,15/12/2024,6,,15901.09,11028.61,1197.79,11687.87,1437.8,4290.97,-54.06819336500001,-24.83535328900001
1328405,Cafelândia,01,15/12/2024,54,"valor da diaria mês de Dezembro R$113,71",64350.62,20918.32,16068.48,70264,18290,2103.63,-53.329620268999975,-24.613780194000014
1332405,Anahy,01,15/12/2024,5,,10081.88,0,0,9780,0,2910.82,-53.14418780300002,-24.643751882000004
1334005,Foz do Iguaçu,05,15/12/2024,14,Valores referente ao mês de dezembro,31988.88,39748.63,39748.63,44180,5820,2355.77,-54.526776256999995,-25.511487825000017
1334006,São Pedro do Iguaçu,01,15/12/2024,14,,12360.25,0,0,16412,1300,1855.6,-53.903399999999976,-24.774999999999977
1328005,Cascavel,02,15/12/2024,30,,87187.37,8885.97,31197.67,108988.52,29750.1,2837.6,-53.43164280799999,-24.870167072000015
1329605,Tres Barras do Parana,01,15/12/2024,12,,18874.58,0,0,30019,4000,2300,-53.18377771799999,-25.429165318999992
1330805,Matelândia,01,15/12/2024,19,"Valores mensais record dese janeiro de 2019 :)  Ano record desde 2019 , 685 toneladas comercializadas em 2024",76208.54,30474,8747.05,67726.2,26736,5171.77,-53.94067022399997,-25.20103409500001
1332805,Marechal Candido Rondon,02,15/12/2024,29,,139018.76,76402.67,0,154296.2,25980,3000,-54.046299999999974,-24.565099999999973
1327605,Pato Bragado,01,15/12/2024,10,,20833.91,18578.67,14440.33,22270,4500,1431.47,-54.223599999999976,-24.627499999999998
1330005,Medianeira,01,15/12/2024,48,,66589.87,39750,13806.06,62073.5,26340,2404.33,-54.07023258200002,-25.317824094000002
1331205,Jesuítas,01,15/12/2024,10,,32954.2,0,0,30594,0,3295.42,-53.381767534999994,-24.38195539100002
1333205,Catanduvas,01,15/12/2024,10,,27909.55,13148,1253.52,33280,4032,4180,-53.16443772299999,-25.183762296999987
1334405,Mundo Novo,01,15/12/2024,14,,38396.95,0,715.36,38938,7612,2691.4,-54.29033844600002,-23.930005361999974
1334805,Foz do Iguaçu,02,15/12/2024,18,Valores referentes ao mês de dezembro/2024.,29668.23,39639.87,39639.87,43571,6500,1692.78,-54.60620247700001,-25.46049592600002
1333605,Foz do Iguaçu,03,15/12/2024,20,,27498.25,39448.17,26209.08,58248,6773,2700,-54.51999999999998,-25.473000000000013
1335205,Iracema do Oeste,01,15/12/2024,7,,8281.87,16512,1796.04,7737,1333,2634,-53.36067044700002,-24.43121944699999
1336406,Ibema,01,15/12/2024,10,venda de reciclaveis+contratos=renda mensal ,14437.36,6157.77,2174,14726.8,5400,2059.51,-52.99972700000001,-25.12897700000002
1338405,Quatro Pontes,01,15/12/2024,5,"essa renda média não representa o ideal, pois o rateio não é por diária",14119.5,8478.45,90000,12390,4451,2823.9,-53.96846811299997,-24.574138858000026
1338805,Nova Aurora,01,15/12/2024,11,,31112.62,11465.3,3473.83,37614.87,9800,2743.56,-53.29563087899999,-24.516557752999972
1339205,Maripa,01,15/12/2024,5,A Recima é uma empresa tercerizada contratada pelo Município e o pagamento é realizado pela empresa,22822,29503.37,0,20398,0,2500,-53.86894752699999,-24.425449026000024
1339605,Ramilândia,01,15/12/2024,9,Foi realizado o carregamento da carga referente ao mês de DEZEMBRO no dia 17/01/2025,19297.9,16138.04,1450,21712.8,3540,3010,-54.030884300000025,-25.119973200000004
1337205,Itaipulândia,01,15/12/2024,58,,83744.41,174810.51,18554.67,83030.6,20010,2724.41,-54.325316999999984,-25.16271999999998
1336405,São Miguel do Iguaçu,01,15/12/2024,40,Renda com prestação de serviço ,75043.54,32570,11966.07,86275.8,44000,2900,-54.23860416100001,-25.263857073999986
1337605,Serranopolis do Iguaçu,01,15/12/2024,10,,31032.99,14742,8574.72,31952,7595,3210.67,-54.058142798999995,-25.415478654000026
1340005,Nova Santa Rosa,01,15/12/2024,9,,32935.4,7004.88,3433.61,36028.5,3690,3508,-53.94834349600001,-24.478772450000008
1336805,Assis Chateaubriand,01,15/12/2024,34,01/12 à 23/12/2024,69057.61,30460.27,8744,87028.86,15606,3185,-53.48891659200001,-24.394506391999982
1338005,Diamante d'Oeste,01,15/12/2024,11,,10615.6,14191.56,10702.37,21225.8,4152.6,2019.94,-54.10031523599997,-24.932295617000023
1340405,Lindoeste,01,15/12/2024,4,,9274.25,6511.68,2145.27,9540,0,3410.165,-53.57595839999999,-25.258129499999995
1341205,Santa Tereza do Oeste,01,15/12/2024,3,,12043.6,5350,3825,6611.9,4870,2850,-53.591718319999984,-25.038529412999992
1341206,Guaraniacu,01,15/12/2024,12,,25718.47,10602.48,2390.75,25677.9,6890,2820,-52.85146800000001,-25.117638999999997
1341605,Ubirata,01,15/12/2024,15,,27317.49,0,1547,26613.7,10000,2070,-53.013300000000015,-24.509299999999996
1342405,Boa Vista da Aparecida,01,15/12/2024,10,,11018.2,0,0,18300,0,1455,-53.42268895400002,-25.43929900699999
1343605,Diamante do Sul,01,15/12/2024,1,,5296,0,1080,6350,0,5296,-52.67973260100001,-25.04469849100002
1344405,Santa Helena,01,15/12/2024,72,,107451.75,89894.66,24417.11,124979.4,40000,2310.09,-54.32088164999999,-24.85691004199998
1342005,Ouro Verde do Oeste,01,15/12/2024,10,,15606.78,0,0,14182.2,113510,1370.39,-53.917643118,-24.770217620999972
1344005,Braganey,01,15/12/2024,9,,12519.6,0,0,13862,0,2177.8,-53.11863466699998,-24.837776667000014
1344805,Santa Terezinha de Itaipu,01,15/12/2024,43,,109540.55,0,11349.18,118217,48288.2,3914.33,-54.41967979999998,-25.44795190000002
1345205,Foz do Iguaçu,06,15/12/2024,19,,24687.4,44852.27,20769.16,20980,4210,1596.64,-54.59087494400001,-25.517143062000002
1347605,Céu Azul,01,15/12/2024,15,,81989.3,7290,55885,57124,8080,1891.24,-53.860911816,-25.14502846099998
1347205,Entre Rios do Oeste,01,15/12/2024,11,,26960.46,6793,1666,31054.9,2636,3676.79,-54.232234366,-24.689295585000025
1352006,Formosa do Oeste,01,15/12/2024,7,,11863.9,0,0,9235,4030,1694.84,-53.32517742099998,-24.305341585999997
1334806,Foz do Iguaçu,06,15/11/2024,19,,38908.29,0,13585.77,50660.23,7600,2557.2,-54.59087494400001,-25.517143062000002
1308405,Diamante do Sul,01,15/11/2024,1,,6282.8,0,2200,5570,0,4083.5,-52.679688433000024,-25.04475374200001
1310405,Campo Bonito,01,15/11/2024,8,,13672.84,19500,7735.18,11611.6,4800,2936.5,-52.989978201999975,-25.026135780000004
1323206,Guaira,01,15/11/2024,16,,29710.85,4000,2840,33806.75,10000,1800,-54.23730348999999,-24.074797124999975
1318005,Brasilândia do Sul,01,15/11/2024,6,,5616.15,3932.5,0,7012,1725,1655,-53.48982287299998,-24.180693184999996
1308005,Foz do Iguaçu,03,15/11/2024,20,,30408.25,39123.23,24093.5,43674.5,6551,2700,-54.51999999999998,-25.473000000000013
1312408,Pato Bragado,01,15/11/2024,11,,25017.69,20059.85,15663.72,25560.89,3072.09,1889.8,-54.22739999999999,-24.644499999999994
1312407,Anahy,01,15/11/2024,5,,8731.05,0,0,10080,0,3129.24,-53.14415775499998,-24.643813473000023
1352005,Formosa do Oeste,01,15/11/2024,7,,9598.75,0,0,7363,3620,1371.25,-53.32511931200003,-24.30538623000001
1303605,Boa Vista da Aparecida,01,15/11/2024,9,,19071.16,0,0,16471.4,0,1200,-53.42269097899998,-25.439272621999976
1315208,Iracema do Oeste,01,15/11/2024,7,,11556.5,16512,1087.24,14886.5,1402,2732.74,-53.360586103,-24.431176712000024
1311205,Vera Cruz do Oeste,01,15/11/2024,16,,17881.93,6660.28,7837.81,19418,8780,1500,-53.874522571,-25.044278553000026
1305605,Palotina,01,15/11/2024,20, O total de Associados que trabalharam todos os dias( não tiveram faltas) foram 2 dois),60299.1,0,12857.6,94134,59280,3489.6,-53.85580295599999,-24.293942680999976
1318405,Ramilândia,01,15/11/2024,10,Foi realizado o carregamento da carga referente ao mês de NOVEMBRO no dia 11/12/2024,20307.67,16657.9,1700,24036.65,3240,3487,-54.030884300000025,-25.119973200000004
1319607,Diamante d'Oeste,01,15/11/2024,13,,14945.49,11956.57,4409.63,19870.8,4702,1856.72,-54.100264804999995,-24.932164280999984
1315605,Ubirata,01,15/11/2024,16,,32144.62,5074.23,3883.5,30060,10000,2328.15,-53.07549999999998,-24.455100000000016
1315606,Tres Barras do Parana,01,15/11/2024,10,,24170.2,1300,0,42170,0,2800,-53.182704537999996,-25.42810745600002
1319610,Francisco Alves,01,15/11/2024,13,,23858.49,6000,1440.62,20769.6,8156,2244,-53.84022970000001,-24.06511119999999
1313605,Catanduvas,01,15/11/2024,10,,29839.84,10036.15,790.81,24389,4719,3550,-53.16443772299999,-25.183762296999987
1316005,Toledo,01,15/11/2024,60,,109016.76,40158,112000,200740,134770,2200,-53.80460346299998,-24.750011572000005
1320005,Ibema,01,15/11/2024,9,bonificacao + valor da carga mensal,14417.75,8388,1538,12526,3189,2533.88,-52.99972700000001,-25.12897700000002
1320007,Foz do Iguaçu,02,15/11/2024,18,Valores referentes ao mês de novembro/2024.,23062.85,38862.3,38862.3,42980.8,6400,1352.45,-54.60620247700001,-25.46049592600002
1320405,Nova Aurora,01,15/11/2024,11,,33992.9,11963,1754.09,31719.18,9800,2997,-53.295457999999996,-24.516415699999982
1321605,Ouro Verde do Oeste,01,15/11/2024,10,,12058.23,0,0,10500,84000,1229.47,-53.91697678000003,-24.771392316000004
1323205,Santa Terezinha de Itaipu,01,15/11/2024,43,,136193.52,66227.5,7374.85,130969.3,34375.4,4595.63,-54.41967979999998,-25.44795190000002
1310005,Foz do Iguaçu,05,15/11/2024,14,Valores referente ao mês de novembro,29531.08,39123.24,39123.24,43525.2,6525,2280.39,-54.526776256999995,-25.511487825000017
1314005,Cafelândia,01,15/11/2024,54,,53998.08,0,18963.58,60590,0,2210,-53.32957405799999,-24.613755707999985
1314006,Cascavel,02,15/11/2024,24,,68057.39,59808.36,28912.5,99914.5,9557.13,1958.59,-53.4438667,-24.91904679999999
1322405,Corbélia,01,15/11/2024,38,,48137.37,46057.56,10305.11,61263,15680,2600,-53.294721332999984,-24.80992033299998
1316406,Cascavel,05,15/11/2024,22,"1560,00 reais referente ao rateio de novembro, mais a soma da renda média de rateio do valor de repasse municipal de 668,74 por catador.",32158.99,4810.13,9793.9,34291,6875,2228.74,-53.45527499999997,-24.94137699999999
1316407,Quatro Pontes,01,15/11/2024,5,"essa renda não representa o ideal, pois o rateio não é por diária",19470.47,13562.2,660,21524.3,6392,3774.09,-53.968842123,-24.574207811000008
1313205,São Jose das Palmeiras,01,15/11/2024,6,,12943.5,10220.59,1197.79,10725.3,1121,3660.8,-54.07464590000001,-24.832035500000018
1307605,Cascavel,06,15/11/2024,16,,23098.7,1123.68,9730.39,24649.8,4340.3,1015.01,-53.48919900300001,-24.99021644300001
1312406,Iguatu,01,15/11/2024,5,,5806.27,2653,1100,7580,915,1800,-53.09610075799998,-24.720188698000015
1316805,Lindoeste,01,15/11/2024,4,,7825.9,4710.62,1642.15,6901.1,0,2723.56,-53.57595839999999,-25.258129499999995
1322805,Santa Tereza do Oeste,01,15/11/2024,3,,12308.7,0,1595.44,12521.7,0,3000,-53.591796391,-25.03852770100002
1307205,Missal,01,15/11/2024,20,,66332.61,77678.97,8627.96,64840.18,11.87,3848.61,-54.25394688799997,-25.087436697999976
1325205,Foz do Iguaçu,07,15/11/2024,18,,31439.35,35978.31,19948.16,35121,4715.94,2846.33,-54.55474441400003,-25.526345658000025
1312405,Assis Chateaubriand,01,15/11/2024,35,"1 à 18/11/2024. O término do mês foi antecipado, devido ao encerramento do contrato com o município.",50302.61,15245.65,870.37,43559,20650,1936.56,-53.488528476,-24.394508701999996
1340805,Guaraniacu,01,15/11/2024,12,,30108.34,13390.03,3912.37,33421.7,9456,3170,-52.851425000000006,-25.117687999999987
1312005,Jesuítas,01,15/11/2024,9,,31383.45,0,0,34526,0,3487,-53.381746565000014,-24.381522689000008
1304805,Matelândia,01,15/11/2024,19,"Essa valor corresponde a divisão entre os 19 associados. Entretanto, cabe ressaltar que a divisão é realizado por um associado a mais, com escopo de promover o diferencial dos coletores. Destarte, isso, há na somatória as sobras de um associado, 17 dias.",67793.31,26176.5,7256.65,59380.3,22672,4478.52,-53.94090288899997,-25.20105380199999
1310806,Santa Helena,01,15/11/2024,69,,93013.12,0,28451.22,113235.1,15000,2104.83,-54.32088695499999,-24.856953350000026
1310805,Mundo Novo,01,15/11/2024,15,,35681.9,0,628.32,51259.5,5469,2334.2,-54.287475477999976,-23.92798294900001
1315205,Cascavel,04,15/11/2024,22,,34172.1,550,17072.86,27595.2,10907,1500,-53.417079806000004,-24.977688057000023
1317605,Cascavel,01,15/11/2024,20,,62703.05,24612.5,40752.12,121043.6,12060,2307.19,-53.45504799999998,-24.941802999999993
1309606,Itaipulândia,01,15/11/2024,60,1 se encontra em auxilio reclusão,93880.62,92350.38,32721.62,85412.81,16950,2601.5,-54.325063829999976,-25.163187266000023
1309605,Serranopolis do Iguaçu,01,15/11/2024,10,,21807.74,12249,5460.57,21585.5,5639,2860.51,-54.06126852699998,-25.413342452999984
1309205,São Pedro do Iguaçu,01,15/11/2024,14,,17061.9,9000,0,17656,1600,1981.6,-54.07600000000002,-24.829700000000003
1308805,Cascavel,03,15/11/2024,21,,44923.39,19122.44,23286.2,66740,14198.7,1240.06,-53.50116933300001,-24.967133999999987
1306805,Foz do Iguaçu,08,15/11/2024,19,,17530.5,29212.43,22694.42,22318,3347.7,1368,-54.57663000299999,-25.574239983999973
1314806,Altônia,01,15/11/2024,15,,34460.29,0,2630.77,39412.5,4474,2500,-53.89326331699999,-23.884850818000018
1314805,Tupassi,01,15/11/2024,3,,8253.88,0,293,10204,2500,2751,-53.47197162399999,-24.640915795000012
1326805,Marechal Candido Rondon,02,15/11/2024,35,,154283.51,76402.67,0,152861,39150,2900,-54.047534773999985,-24.507800916000008
1318806,Céu Azul,01,15/11/2024,15,,85456.9,7259,57370,65260,7580,1873,-53.860911816,-25.14502846099998
1306405,Capitão Leonidas Marques,01,15/11/2024,17,,63618.97,22223.11,31891.02,61224.5,8825,3156.12,-53.62134564600001,-25.500230218000013
1306005,Foz do Iguaçu,04,15/11/2024,21,Os valores acima se referem ao mês de Novembro.,48942.46,35639.19,35639.19,41305.4,6100,2933.21,-54.54372752500001,-25.497840311000004
