id,municipio,uvr,uvr_nro,data_envio
21,São José das Palmeiras,SÃO JOSE DAS PALMEIRAS - UVR 01,1,2025-03-10 14:28:50.744
51,Medianeira,MEDIANEIRA - UVR 01,1,2025-03-11 15:22:19.678
86,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 01,1,2025-03-12 08:58:30.043
87,Francisco Beltrão,FRANCISCO BELTRÃO - UVR 03,3,2025-03-12 09:05:19.358
19,Missal,MISSAL - UVR 01,1,2025-03-12 13:46:37.480
109,Campo Largo,CAMPO LARGO - UVR 01,1,2025-03-18 14:22:16.970
50,Iracema do Oeste,IRACEMA DO OESTE - UVR 01,1,2025-03-19 16:12:21.779
22,Santa Tereza do Oeste,SANTA TEREZA DO OESTE - UVR 01,1,2025-03-19 17:09:24.636
39,Anahy,ANAHY - UVR 01,1,2025-03-20 09:08:46.681
103,Santa Mariana,SANTA MARIANA - UVR 01,1,2025-02-05 15:07:18.667
96,Nova Tebas,NOVA TEBAS - UVR 01,1,2025-02-05 10:38:21.919
106,Reserva do Iguaçu,RESERVA DO IGUAÇU - UVR 01,1,2025-02-04 15:08:32.509
99,Quedas do Iguaçu,QUEDAS DO IGUAÇU - UVR 01,1,2025-02-05 15:07:47.877
100,Ribeirão Claro,RIBEIRÃO CLARO - UVR 01,1,2025-02-05 10:13:53.212
118,Jaguapitã,JAGUAPITÃ - UVR 01,1,2025-03-18 15:39:05.095
93,Mandaguaçu,MANDAGUAÇU - UVR 01,1,2025-02-05 13:41:25.462
90,Jardim Alegre,JARDIM ALEGRE - UVR 01,1,2025-02-07 08:17:02.432
91,Kaloré,KALORÉ - UVR 01,1,2025-02-07 16:27:16.265
76,Atalaia,ATALAIA - UVR 01,1,2025-02-05 16:41:47.519
84,Cruzeiro do Sul,CRUZEIRO DO SUL - UVR 01,1,2025-02-07 15:00:46.969
83,Colorado,COLORADO - UVR 01,1,2025-02-05 16:38:25.937
97,Paraíso do Norte,PARAÍSO DO NORTE - UVR 01,1,2025-02-06 11:43:47.047
104,São João do Triunfo,SÃO JOÃO DO TRIUNFO - UVR 01,1,2025-03-20 09:56:57.442
113,Campo Largo,CAMPO LARGO - UVR 04,4,2025-03-20 10:11:04.538
27,Diamante D'Oeste,DIAMANTE D'OESTE - UVR 01,1,2025-03-20 10:13:52.599
112,Campo Largo,CAMPO LARGO - UVR 05,5,2025-03-20 10:43:17.648
67,Três Barras do Paraná,TRES BARRAS DO PARANA - UVR 01,1,2025-03-20 11:30:52.800
58,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 06,6,2025-03-20 15:25:56.448
29,Brasilândia do Sul,BRASILÂNDIA DO SUL - UVR 01,1,2025-03-21 08:06:46.176
124,Realeza,REALEZA - UVR 01,1,2025-03-21 09:59:23.239
110,Campo Largo,CAMPO LARGO - UVR 03,3,2025-03-21 10:52:48.662
119,Lapa,LAPA - UVR 01,1,2025-03-21 12:29:39.846
17,Catanduvas,CATANDUVAS - UVR 01,1,2025-03-21 14:35:10.899
111,Campo Largo,CAMPO LARGO - UVR 02,2,2025-03-21 15:46:47.721
46,Ibema,IBEMA - UVR 01,1,2025-03-24 08:51:33.981
73,Castro,RECICLACASTRO,1,2025-03-25 13:18:01.913
120,Marmeleiro,MARMELEIRO - UVR 01,1,2025-03-25 14:16:34.970
115,Cerro Azul,CERRO AZUL - UVR 01,1,2025-03-25 14:57:45.003
63,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 08,8,2025-03-25 18:20:05.508
116,Enéas Marques,ENÉAS MARQUES - UVR 01,1,2025-03-26 09:55:18.115
116,Enéas Marques,ENÉAS MARQUES - UVR 01,1,2025-03-26 11:32:57.255
16,Boa Vista da Aparecida,BOA VISTA DA APARECIDA - UVR 01,1,2025-03-27 07:56:30.919
59,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 07,7,2025-03-27 08:56:54.462
117,General Carneiro,GENERAL CARNEIRO - UVR 01,1,2025-03-27 09:00:47.118
45,Itaipulândia,ITAIPULÂNDIA - UVR 01,1,2025-03-27 09:38:46.782
129,Santana do Itararé,SANTANA DO ITARARÉ - UVR 01,1,2025-03-27 13:17:48.328
49,Santa Lúcia,SANTA LÚCIA - UVR 01,1,2025-03-27 13:48:31.293
121,Ortigueira,ORTIGUEIRA - UVR 01,1,2025-03-28 14:55:20.521
36,Nova Santa Rosa,NOVA SANTA ROSA - UVR 01,1,2025-03-31 10:41:32.780
34,São Pedro do Iguaçu,SÃO PEDRO DO IGUAÇU - UVR 01,1,2025-04-01 07:37:35.408
56,Matelândia,MATELÂNDIA - UVR 01,1,2025-04-02 14:56:36.024
12,Santa Helena,SANTA HELENA - UVR 01,1,2025-04-03 09:54:02.897
125,Rio Branco do Sul,RIO BRANCO DO SUL - UVR 01,1,2025-04-03 16:53:23.208
65,Marechal Cândido Rondon,MARECHAL CANDIDO RONDON - UVR 01,1,2025-04-04 19:45:24.752
31,Marechal Cândido Rondon,MARECHAL CANDIDO RONDON - UVR 02,2,2025-04-04 19:52:31.691
95,Mato Rico,MATO RICO - UVR 01,1,2025-04-08 09:09:27.349
126,Rio Branco do Sul,RIO BRANCO DO SUL - UVR 02,2,2025-04-08 11:38:57.405
38,Serranópolis do Iguaçu,SERRANOPOLIS DO IGUAÇU - UVR 01,1,2025-04-08 17:26:02.753
73,Castro,RECICLACASTRO,1,2025-04-09 13:33:56.132
28,Braganey,BRAGANEY - UVR 01,1,2025-04-09 14:35:05.215
2,Quatro Pontes,QUATRO PONTES - UVR 01,1,2025-04-09 16:19:58.808
7,Foz do Iguaçu,FOZ DO IGUAÇU - UVR 04,4,2025-04-10 09:09:22.222
102,Santa Maria do Oeste,SANTA MARIA DO OESTE - UVR 01,1,2025-04-10 10:55:42.754
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-04-10 14:31:33.814
43,Cascavel,CASCAVEL - UVR 04 - CASCAVEL VELHO,4,2025-04-10 14:42:27.198
41,Cascavel,CASCAVEL - UVR 02 - CAREMEL,2,2025-04-10 14:51:30.449
57,Cascavel,CASCAVEL - UVR 01 - MANAUS,1,2025-04-10 14:58:41.728
44,Cascavel,CASCAVEL - UVR 05 - BRASÍLIA,5,2025-04-11 12:48:04.829
10,Ubiratã,UBIRATA - UVR 01,1,2025-04-16 14:28:35.969
