"id","razao_social","cnpj","uvr","uvr_numero","municipio","data_envio"
97,Associação Bragadense de Catadores-ABC,"14015798000150",PATO BRAGADO - UVR 01,1,Pato Bragado,2025-03-12 09:50:44.245
75, COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLAVEIS DE CRUZEIRO DO SUL - COOCRESU,"45688026000102",CRUZEIRO DO SUL - UVR 01,1,Cruzeiro do Sul,2025-02-07 15:11:27.667
87,Associação Plast Silva,"41601792000137",FRANCISCO BELTRÃO - UVR 03,3,Francisco Beltrão,2025-02-24 08:53:12.820
98,Cooperativa de Catadores de Materiais Recicláveis de Foz do Iguaçu Porto Meira,"42992501000141",FOZ DO IGUAÇU - UVR 08,8,Foz do Iguaçu,2025-03-17 17:31:16.575
91,Cooperativa de Trabalho dos Recicladores de Capitão Leônidas Marques,"41175648000186",CAPITÃO LEONIDAS MARQUES - UVR 01,1,Capitão Leônidas Marques,2025-03-05 16:25:40.249
63,Associação de Recicladores da Fronteira,"11365656000124",BARRACÃO - UVR 01,1,Barracão,2025-02-05 13:36:33.701
103,ACASTO,"14296790000109",SANTA TEREZA DO OESTE - UVR 01,1,Santa Tereza do Oeste,2025-03-20 13:28:50.275
104,Associação Catanduvas Recicla,"12837352000185",CATANDUVAS - UVR 01,1,Catanduvas,2025-03-20 15:41:10.130
101,Associação de Catadores Brilha Diamante,"28829507000171",DIAMANTE D'OESTE - UVR 01,1,Diamante D'Oeste,2025-03-19 16:16:52.456
106,ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE SALGADO FILHO,"32914562000137",SALGADO FILHO - UVR 01,1,Salgado Filho,2025-03-20 16:16:01.551
105,COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS DE FOZ DO IGUACU - AMERICA,"42780844000142",FOZ DO IGUAÇU - UVR 06,6,Foz do Iguaçu,2025-03-20 15:51:21.153
107,Associação de Catadores de Brasilândia do Sul,"13111461000183",BRASILÂNDIA DO SUL - UVR 01,1,Brasilândia do Sul,2025-03-21 09:22:12.824
61,ACASTRO,"99999999999999",RECICLACASTRO,1,Castro,2025-01-15 12:49:46.128
114,Assocaição de Reciclagem Amaporã,"22248252000177",AMAPORÃ - UVR 01,1, Amaporã,2025-03-23 20:43:31.002
109,Associação de Apoio Aos Agentes Ambientais de Realeza - Apara,"04940058000176",REALEZA - UVR 01,1,Realeza,2025-03-21 10:55:27.692
73,Associação Catadores Materiais Eciclaveis Jardim Alegre,"48716447000198",JARDIM ALEGRE - UVR 01,1,Jardim Alegre,2025-02-07 09:21:50.190
115,Associação de catadores de reciclaveis de toledo,"27403794000190",TOLEDO - UVR 01,1,Toledo,2025-03-24 11:33:38.214
89,MARRECAS COOPERATIVA DE RECICLADOS - MARCOP,"29707375000178",FRANCISCO BELTRÃO - UVR 01,1,Francisco Beltrão,2025-02-24 09:44:50.150
67, Cooperativa de Trabalho de Catadores de Materiais Reciclaveis e de Residuos Solidos de Ribeirao Claro - COTRARI,"25421412000126",RIBEIRÃO CLARO - UVR 01,1,Ribeirão Claro,2025-02-05 15:49:00.583
78,ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS DE KALORÉ,"29217753000135",KALORÉ - UVR 01,1,Kaloré,2025-02-07 17:41:35.860
108,Campina da Lagoa (fase de formalização),"00000000000000",CAMPINA DA LAGOA - UVR 01,1,Campina da Lagoa,2025-03-21 10:15:12.652
88,COOPERATIVA RENOVE RECICLAGENS,"43942654000147",FRANCISCO BELTRÃO - UVR 02,2,Francisco Beltrão,2025-02-24 09:13:56.834
116,Associação de Catadores de Recicláveis de Ibema,"31783176000190",IBEMA - UVR 01,1,Ibema,2025-03-24 14:30:41.227
110,ASSOCIACAO DE RECICLAGEM CAMPOLARGUENSE - (ARC),"20022332000184",CAMPO LARGO - UVR 03,3,Campo Largo,2025-03-21 11:18:55.748
80,Cooperativa de Trabalho da Coleta Seletiva Solidária de Ibaiti - COOPERSOLI,"15534190000102",IBAITI - UVR 01,1,Ibaiti,2025-02-10 12:57:03.387
95,ASSOCIAÇAO DE CATADARES BRILHA DIAMANTE ,"59456979000150",DIAMANTE DO SUL - UVR 01,1,Diamante do Sul,2025-03-10 15:21:10.598
117,Associação dos Catadores de Materiais Recicláveis de Marmeleiro,"24476465000181",MARMELEIRO - UVR 01,1,Marmeleiro,2025-03-25 09:58:12.692
186,Associação de Agentes Ambientais de São João do Triunfo,"60929275000136",SÃO JOÃO DO TRIUNFO - UVR 01,1,São João do Triunfo,2025-07-24 10:24:21.412
187,associação de catadores de reciclaveis de toledo,"27403794000190",TOLEDO - UVR 01,1,Toledo,2025-07-28 16:39:36.270
